trigger_skill,relation,inferred_skill
S007,requires,S002
S003,implies,S002
S010,requires,S007
S010,requires,S013
S011,requires,S001
S012,requires,S001
S008,requires,S002
S009,requires,S003
S076,requires,S007
S015,requires,S014
S014,implies,S045
S025,requires,S001
S026,requires,S001
S029,requires,S001
S031,requires,S001
S031,requires,S059
S025,implies,S034
S026,implies,S034
S030,implies,S033
S035,requires,S014
S056,implies,S032
S059,implies,S034
S034,implies,S038
S016,implies,S047
S017,implies,S047
S048,implies,S045
S064,implies,S038
S066,requires,S043
S067,implies,S047
S038,requires,S037
S042,requires,S038
S042,requires,S040
S068,implies,S072
S069,implies,S072
S070,requires,S071
